2023-07-18 14:36:47.9208 |  | INFO | La.WebApi.Filters.VerifyAttribute |  |  |  | 请求访问[/getInfo]失败，无法访问系统资源 |  |  | 
2023-07-18 14:36:48.2047 |  | INFO | GlobalActionMonitor |  |  |  |  | {} | {  "code": 200,  "msg": "success",  "data": {    "name": null,    "id": 0  }} | 
2023-07-18 14:36:49.4752 |  | INFO | GlobalActionMonitor |  |  |  |  | {} | {  "code": 200,  "msg": "success",  "data": {    "name": null,    "id": 0  }} | 
2023-07-18 14:36:59.0992 |  | INFO | GlobalActionMonitor |  | admin |  |  | {"username":"admin","password":"***","code":"auwc","uuid":"639a1ec1a406443ea79f25533f270fb4"} | {  "code": 200,  "msg": "success",  "data": "eyJhbGciOiJIUzI1NiIsInR5cCI6IkJlYXJlciJ9.eyJwcmltYXJ5c2lkIjoiMSIsInVuaXF1ZV9uYW1lIjoiYWRtaW4iLCJodHRwOi8vc2NoZW1hcy5taWNyb3NvZnQuY29tL3dzLzIwMDgvMDYvaWRlbnRpdHkvY2xhaW1zL3VzZXJkYXRhIjoie1wiVXNlcklkXCI6MSxcIkRlcHRJZFwiOjAsXCJVc2VyTmFtZVwiOlwiYWRtaW5cIixcIlJvbGVJZHNcIjpbXCJhZG1pblwiXSxcIlJvbGVzXCI6W3tcIlJvbGVJZFwiOjEsXCJSb2xlTmFtZVwiOlwi6LaF57qn566h55CG5ZGYXCIsXCJSb2xlS2V5XCI6XCJhZG1pblwiLFwiUm9sZVNvcnRcIjoxLFwiU3RhdHVzXCI6MCxcIklzRGVsZXRlZFwiOjAsXCJEYXRhU2NvcGVcIjoxLFwiTWVudUNoZWNrU3RyaWN0bHlcIjp0cnVlLFwiRGVwdENoZWNrU3RyaWN0bHlcIjpmYWxzZSxcIk1lbnVJZHNcIjpudWxsLFwiRGVwdElkc1wiOm51bGwsXCJVc2VyTnVtXCI6MCxcIlJlbWFya1wiOlwi6LaF57qn566h55CG5ZGYXCIsXCJDcmVhdGVCeVwiOlwiYWRtaW5cIixcIkNyZWF0ZVRpbWVcIjpcIjIwMjMtMDctMTRUMTY6NTU6MDMuOTg3XCIsXCJVcGRhdGVUaW1lXCI6bnVsbH1dLFwiUGVybWlzc2lvbnNcIjpbXCIqOio6KlwiXX0iLCJBdWRpZW5jZSI6IkxhLk5FVCIsIklzc3VlciI6IkxhLk5FVCIsIm5iZiI6MTY4OTY2MjIxOSwiZXhwIjoxNjg5NzQ4NjE5LCJpYXQiOjE2ODk2NjIyMTksImlzcyI6IkxhLk5FVCIsImF1ZCI6IkxhLk5FVCJ9.bgpawAInqGR6MLPmuNlE3jCsG0Imr4wH7xXsaGqlu60"} | 
2023-07-18 14:52:10.4844 |  | INFO | GlobalActionMonitor |  | admin |  |  | {"menuId":108,"menuName":"日志管理","parentId":2,"orderNum":10,"path":"log","component":"","isCache":"0","isFrame":"0","menuType":"M","visible":"0","status":0,"perms":"","icon":"log","menuNameKey":"menu.systemLog","children":[],"subNum":0,"hasChildren":false,"remark":"","createBy":"","createTime":"2023-07-14 16:55:02"} | {  "code": 200,  "msg": "success"} | 
2023-07-18 14:54:09.5683 |  | INFO | GlobalActionMonitor |  | admin |  |  | {"parentId":0,"menuName":"Office","icon":"build","menuType":"M","orderNum":8,"isFrame":"0","isCache":"0","visible":"0","status":"0","menuNameKey":"menu.Office","path":"office"} | {  "code": 200,  "msg": "success"} | 
2023-07-18 14:55:02.8372 |  | INFO | GlobalActionMonitor |  | admin |  |  | {"menuId":1039,"menuName":"任务日志","parentId":3,"orderNum":0,"path":"job/log","component":"monitor/job/log","isCache":"0","isFrame":"0","menuType":"C","visible":"1","status":0,"perms":"monitor:job:query","icon":"log","menuNameKey":"","children":[],"subNum":0,"hasChildren":false,"createBy":"","createTime":"2023-07-14 16:55:03"} | {  "code": 200,  "msg": "success"} | 
2023-07-18 14:55:29.9558 |  | INFO | GlobalActionMonitor |  | admin |  |  | {"menuId":110,"menuName":"定时任务","parentId":3,"orderNum":1,"path":"job","component":"monitor/job/index","isCache":"0","isFrame":"0","menuType":"C","visible":"0","status":0,"perms":"","icon":"","menuNameKey":"menu.timedTask","children":[],"subNum":0,"hasChildren":false,"remark":"","createBy":"","createTime":"2023-07-14 16:55:02"} | {  "code": 200,  "msg": "success"} | 
2023-07-18 14:55:53.9112 |  | INFO | GlobalActionMonitor |  | admin |  |  | {"menuId":1072,"menuName":"文件存储","parentId":1091,"orderNum":17,"path":"file","component":"tool/file/index","isCache":"0","isFrame":"0","menuType":"C","visible":"0","status":0,"perms":"tool:file:list","icon":"upload","menuNameKey":"menu.fileStorage","children":[],"subNum":0,"hasChildren":false,"remark":"文件存储菜单","createBy":"","createTime":"1900-01-01 00:00:00"} | {  "code": 200,  "msg": "success"} | 
2023-07-18 14:56:04.2415 |  | INFO | GlobalActionMonitor |  | admin |  |  | {"menuId":118,"menuName":"文章管理","parentId":1091,"orderNum":18,"path":"article","isCache":"0","isFrame":"0","menuType":"M","visible":"0","status":0,"icon":"documentation","menuNameKey":"menu.systemArticle","children":[],"subNum":0,"hasChildren":false,"remark":"","createBy":"","createTime":"2023-07-14 16:55:02"} | {  "code": 200,  "msg": "success"} | 
2023-07-18 14:56:22.4827 |  | INFO | GlobalActionMonitor |  | admin |  |  | {"menuId":1091,"menuName":"Office","parentId":0,"orderNum":4,"path":"office","isCache":"0","isFrame":"0","menuType":"M","visible":"0","status":0,"icon":"build","menuNameKey":"menu.Office","children":[],"subNum":0,"hasChildren":false,"createBy":"admin","createTime":"2023-07-18 14:54:09"} | {  "code": 200,  "msg": "success"} | 
